Date,Open,High,Low,Close,Volume
1752652800,225.7,225.71,225.7,225.71,2
1752652805,225.71,225.71,225.71,225.71,0
1752652810,225.71,225.71,225.71,225.71,0
1752652815,225.71,225.71,225.71,225.71,0
1752652820,225.71,225.71,225.71,225.71,0
1752652825,225.71,225.71,225.71,225.71,0
1752652830,225.71,225.71,225.71,225.71,0
1752652835,225.95,225.95,225.76,225.76,2
1752652840,225.76,225.76,225.76,225.76,0
1752652845,225.76,225.76,225.76,225.76,0
1752652850,225.76,225.76,225.76,225.76,0
1752652855,225.76,225.76,225.76,225.76,0
1752652860,225.76,225.76,225.76,225.76,0
1752652865,225.76,225.76,225.76,225.76,0
1752652870,225.76,225.76,225.76,225.76,0
1752652875,225.76,225.76,225.76,225.76,0
1752652880,225.76,225.76,225.76,225.76,0
1752652885,225.76,225.76,225.76,225.76,0
1752652890,225.76,225.76,225.76,225.76,0
1752652895,225.76,225.76,225.76,225.76,0
1752652900,225.93,225.93,225.93,225.93,1
1752652905,225.93,225.93,225.93,225.93,0
1752652910,225.93,225.93,225.93,225.93,0
1752652915,225.93,225.93,225.93,225.93,0
1752652920,225.95,225.95,225.95,225.95,1
1752652925,225.95,225.95,225.95,225.95,0
1752652930,225.95,225.95,225.95,225.95,0
1752652935,225.92,225.92,225.92,225.92,2
1752652940,225.92,225.92,225.92,225.92,0
1752652945,225.92,225.92,225.92,225.92,0
1752652950,225.86,225.86,225.81,225.81,5
1752652955,225.81,225.81,225.81,225.81,0
1752652960,225.81,225.81,225.81,225.81,0
1752652965,225.77,225.77,225.77,225.77,1
1752652970,225.77,225.77,225.77,225.77,0
1752652975,225.77,225.77,225.77,225.77,0
1752652980,225.77,225.77,225.77,225.77,0
1752652985,225.84,225.84,225.84,225.84,1
1752652990,225.84,225.84,225.84,225.84,0
1752652995,225.84,225.84,225.84,225.84,0
1752653000,225.84,225.84,225.84,225.84,0
1752653005,225.84,225.84,225.84,225.84,0
1752653010,225.84,225.84,225.84,225.84,0
1752653015,225.84,225.84,225.84,225.84,0
1752653020,225.84,225.84,225.84,225.84,0
1752653025,225.84,225.84,225.84,225.84,0
1752653030,225.84,225.84,225.84,225.84,0
1752653035,225.84,225.84,225.84,225.84,0
1752653040,225.84,225.84,225.84,225.84,0
1752653045,225.84,225.84,225.84,225.84,0
1752653050,225.84,225.84,225.84,225.84,0
1752653055,225.84,225.84,225.84,225.84,0
1752653060,225.84,225.84,225.84,225.84,0
1752653065,225.84,225.84,225.84,225.84,0
1752653070,225.84,225.84,225.84,225.84,0
1752653075,225.84,225.84,225.84,225.84,0
1752653080,225.84,225.84,225.84,225.84,0
1752653085,225.84,225.84,225.84,225.84,0
1752653090,225.84,225.84,225.84,225.84,0
1752653095,225.84,225.84,225.84,225.84,0
1752653100,225.81,225.81,225.8,225.8,4
1752653105,225.8,225.8,225.79,225.79,3
1752653110,225.79,225.79,225.79,225.79,0
1752653115,225.83,225.86,225.83,225.86,3
1752653120,225.87,225.87,225.87,225.87,3
1752653125,225.87,225.87,225.87,225.87,0
1752653130,225.87,225.87,225.87,225.87,0
1752653135,225.87,225.87,225.87,225.87,0
1752653140,225.87,225.87,225.87,225.87,0
1752653145,225.87,225.87,225.87,225.87,0
1752653150,225.87,225.87,225.87,225.87,0
1752653155,225.87,225.87,225.87,225.87,0
1752653160,225.87,225.87,225.87,225.87,0
1752653165,225.87,225.87,225.87,225.87,0
1752653170,225.87,225.87,225.87,225.87,0
1752653175,225.87,225.87,225.87,225.87,0
1752653180,225.87,225.87,225.87,225.87,0
1752653185,225.87,225.87,225.87,225.87,0
1752653190,225.87,225.87,225.87,225.87,0
1752653195,225.87,225.87,225.87,225.87,0
1752653200,225.87,225.87,225.87,225.87,0
1752653205,225.99,225.99,225.99,225.99,2
1752653210,225.99,225.99,225.99,225.99,0
1752653215,225.99,225.99,225.99,225.99,0
1752653220,225.99,225.99,225.99,225.99,0
1752653225,225.99,225.99,225.99,225.99,0
1752653230,226.04,226.04,226.04,226.04,1
1752653235,226.04,226.04,226.04,226.04,0
1752653240,226.04,226.04,226.04,226.04,0
1752653245,226.04,226.04,226.04,226.04,0
1752653250,226.04,226.04,226.04,226.04,0
1752653255,226.04,226.04,226.04,226.04,0
1752653260,226.04,226.04,226.04,226.04,0
1752653265,226.0,226.0,225.91,225.91,2
1752653270,225.91,225.91,225.91,225.91,0
1752653275,225.91,225.91,225.91,225.91,0
1752653280,225.91,225.91,225.91,225.91,0
1752653285,225.91,225.91,225.91,225.91,0
1752653290,225.91,225.91,225.91,225.91,0
1752653295,225.91,225.91,225.91,225.91,0
1752653300,225.91,225.91,225.91,225.91,0
1752653305,225.91,225.91,225.91,225.91,0
1752653310,225.91,225.91,225.91,225.91,0
1752653315,225.91,225.91,225.91,225.91,0
1752653320,225.91,225.91,225.91,225.91,0
1752653325,225.91,225.91,225.91,225.91,0
1752653330,225.91,225.91,225.91,225.91,0
1752653335,225.91,225.91,225.91,225.91,0
1752653340,225.91,225.91,225.91,225.91,0
1752653345,225.91,225.91,225.91,225.91,0
1752653350,225.91,225.91,225.91,225.91,0
1752653355,225.91,225.91,225.91,225.91,0
1752653360,225.91,225.91,225.91,225.91,0
1752653365,225.91,225.91,225.91,225.91,0
1752653370,225.91,225.91,225.91,225.91,0
1752653375,225.91,225.91,225.91,225.91,0
1752653380,225.91,225.91,225.91,225.91,0
1752653385,225.91,225.91,225.91,225.91,0
1752653390,225.91,225.91,225.91,225.91,0
1752653395,225.91,225.91,225.91,225.91,0
1752653400,225.91,225.91,225.91,225.91,0
1752653405,225.91,225.91,225.91,225.91,0
1752653410,225.91,225.91,225.91,225.91,0
1752653415,225.91,225.91,225.91,225.91,0
1752653420,225.91,225.91,225.91,225.91,0
1752653425,225.91,225.91,225.91,225.91,0
1752653430,225.91,225.91,225.91,225.91,0
1752653435,226.02,226.03,226.02,226.03,3
1752653440,226.03,226.03,226.03,226.03,0
1752653445,226.03,226.03,226.03,226.03,0
1752653450,226.03,226.03,226.03,226.03,0
1752653455,226.03,226.03,226.03,226.03,0
1752653460,226.03,226.03,226.03,226.03,0
1752653465,226.03,226.03,226.03,226.03,0
1752653470,226.03,226.03,226.03,226.03,0
1752653475,226.03,226.03,226.03,226.03,0
1752653480,226.03,226.03,226.03,226.03,0
