Date,Open,High,Low,Close,Volume
1752845400,629.29,629.47,629.03,629.08,10422
1752845405,629.09,629.15,628.98,629.02,1467
1752845410,629.0,629.11,628.91,628.95,2471
1752845415,628.98,629.04,628.88,628.93,808
1752845420,628.93,628.96,628.9,628.91,671
1752845425,628.91,628.94,628.86,628.91,511
1752845430,628.91,628.92,628.77,628.81,452
1752845435,628.8,628.92,628.79,628.91,491
1752845440,628.91,628.91,628.76,628.79,718
1752845445,628.77,628.79,628.69,628.74,496
1752845450,628.74,628.79,628.71,628.76,341
1752845455,628.76,628.85,628.76,628.77,584
1752845460,628.77,628.84,628.75,628.84,457
1752845465,628.84,628.93,628.8,628.81,567
1752845470,628.82,628.85,628.77,628.8,486
1752845475,628.8,629.02,628.79,629.0,893
1752845480,629.0,629.07,628.98,629.07,298
1752845485,629.07,629.13,629.05,629.13,259
1752845490,629.14,629.17,629.09,629.13,487
1752845495,629.14,629.19,629.07,629.07,338
1752845500,629.08,629.11,629.03,629.09,359
1752845505,629.09,629.17,629.06,629.15,335
1752845510,629.14,629.14,629.1,629.12,163
1752845515,629.11,629.16,629.09,629.14,491
1752845520,629.14,629.15,629.05,629.07,477
1752845525,629.07,629.21,629.07,629.2,313
1752845530,629.2,629.23,629.12,629.18,515
1752845535,629.18,629.18,629.11,629.13,312
1752845540,629.15,629.18,629.12,629.15,314
1752845545,629.15,629.18,629.11,629.11,376
1752845550,629.09,629.16,629.09,629.13,369
1752845555,629.14,629.18,629.09,629.17,582
1752845560,629.17,629.21,629.14,629.19,696
1752845565,629.18,629.2,629.11,629.14,598
1752845570,629.13,629.21,629.13,629.2,350
1752845575,629.19,629.2,629.06,629.1,201
1752845580,629.11,629.14,628.97,628.99,777
1752845585,628.99,628.99,628.93,628.96,510
1752845590,628.94,628.96,628.84,628.92,377
1752845595,628.92,628.94,628.86,628.88,332
1752845600,628.86,628.9,628.83,628.89,130
1752845605,628.88,628.9,628.85,628.88,204
1752845610,628.88,628.91,628.85,628.85,296
1752845615,628.86,628.89,628.82,628.89,183
1752845620,628.89,628.92,628.85,628.85,572
1752845625,628.86,628.93,628.86,628.9,228
