Date,Open,High,Low,Close,Volume
1753776000,179.0,179.0,178.0,178.8,280
1753776005,178.78,178.89,178.75,178.89,30
1753776010,178.98,179.0,178.89,178.98,94
1753776015,178.99,178.99,178.91,178.92,4
1753776020,178.97,179.0,178.9,178.96,42
1753776025,178.94,178.94,178.89,178.94,21
1753776030,178.9,178.91,178.89,178.9,37
1753776035,178.9,178.94,178.89,178.94,8
1753776040,178.9,178.94,178.88,178.89,9
1753776045,178.87,178.87,178.87,178.87,11
1753776050,178.84,178.84,178.84,178.84,2
1753776055,178.82,178.82,178.82,178.82,3
1753776060,178.84,178.89,178.83,178.89,20
1753776065,178.87,178.88,178.83,178.83,3
1753776070,178.83,178.88,178.77,178.88,27
1753776075,178.88,178.88,178.88,178.88,0
1753776080,178.85,178.87,178.78,178.87,24
1753776085,178.87,178.87,178.87,178.87,0
1753776090,178.84,178.88,178.83,178.88,19
1753776095,178.87,178.87,178.83,178.84,12
1753776100,178.85,178.86,178.85,178.85,8
1753776105,178.85,178.87,178.85,178.87,5
1753776110,178.85,178.87,178.81,178.81,24
1753776115,178.8,178.81,178.8,178.8,19
1753776120,178.83,178.95,178.83,178.95,19
1753776125,178.91,178.91,178.91,178.91,1
1753776130,178.89,178.9,178.89,178.9,3
1753776135,178.91,178.92,178.91,178.91,11
1753776140,178.89,178.89,178.89,178.89,4
1753776145,178.9,178.9,178.89,178.89,2
1753776150,178.87,178.87,178.87,178.87,2
1753776155,178.87,178.87,178.87,178.87,3
1753776160,178.9,178.92,178.9,178.92,8
1753776165,178.93,178.93,178.93,178.93,2
1753776170,178.93,178.95,178.93,178.95,5
1753776175,178.95,178.95,178.95,178.95,0
1753776180,178.97,179.04,178.96,179.04,21
1753776185,179.06,179.06,179.01,179.01,5
1753776190,179.02,179.02,179.02,179.02,1
1753776195,179.06,179.06,179.02,179.02,3
1753776200,179.07,179.07,179.07,179.07,21
1753776205,179.08,179.1,179.08,179.1,15
1753776210,179.1,179.1,179.09,179.09,14
1753776215,179.1,179.12,179.08,179.11,15
1753776220,179.08,179.08,179.08,179.08,9
1753776225,179.08,179.08,179.06,179.08,5
1753776230,179.08,179.08,179.08,179.08,0
1753776235,179.08,179.08,179.08,179.08,0
1753776240,179.07,179.08,179.07,179.08,4
1753776245,179.1,179.1,179.1,179.1,8
1753776250,179.1,179.1,179.09,179.1,10
1753776255,179.08,179.08,179.07,179.07,6
1753776260,179.07,179.07,179.07,179.07,1
1753776265,179.05,179.05,179.05,179.05,1
1753776270,179.04,179.04,179.04,179.04,1
1753776275,179.04,179.04,179.04,179.04,0
1753776280,179.03,179.03,179.03,179.03,2
1753776285,179.03,179.03,179.03,179.03,1
1753776290,179.03,179.05,179.02,179.05,9
1753776295,179.05,179.05,179.05,179.05,2
1753776300,179.05,179.05,179.05,179.05,0
1753776305,179.02,179.07,179.02,179.07,17
1753776310,179.04,179.04,179.04,179.04,2
1753776315,179.05,179.05,179.05,179.05,1
1753776320,179.04,179.04,179.04,179.04,2
1753776325,179.02,179.02,179.02,179.02,1
1753776330,179.06,179.06,179.05,179.05,2
1753776335,179.05,179.05,179.05,179.05,0
1753776340,179.07,179.12,179.07,179.11,21
1753776345,179.11,179.16,179.11,179.16,14
1753776350,179.16,179.16,179.16,179.16,0
1753776355,179.17,179.18,179.17,179.18,17
1753776360,179.22,179.22,179.17,179.18,19
1753776365,179.16,179.16,179.15,179.15,15
1753776370,179.12,179.12,179.05,179.06,31
1753776375,179.05,179.05,179.05,179.05,3
1753776380,179.07,179.07,179.07,179.07,4
1753776385,179.07,179.08,179.07,179.08,3
1753776390,179.09,179.1,179.09,179.1,7
1753776395,179.1,179.11,179.1,179.11,2
1753776400,179.1,179.11,179.1,179.11,10
1753776405,179.11,179.11,179.11,179.11,2
1753776410,179.11,179.11,179.11,179.11,0
1753776415,179.11,179.11,179.11,179.11,0
1753776420,179.15,179.16,179.15,179.15,7
1753776425,179.15,179.15,179.15,179.15,1
1753776430,179.2,179.2,179.17,179.17,8
1753776435,179.18,179.2,179.18,179.2,3
1753776440,179.2,179.2,179.2,179.2,0
1753776445,179.19,179.2,179.19,179.19,21
1753776450,179.17,179.17,179.17,179.17,5
1753776455,179.17,179.17,179.17,179.17,0
1753776460,179.19,179.19,179.19,179.19,1
1753776465,179.19,179.19,179.19,179.19,9
1753776470,179.19,179.19,179.17,179.18,5
1753776475,179.19,179.2,179.19,179.2,4
1753776480,179.2,179.25,179.2,179.22,73
1753776485,179.22,179.25,179.22,179.25,20
1753776490,179.24,179.24,179.23,179.23,6
1753776495,179.22,179.22,179.22,179.22,2
1753776500,179.23,179.23,179.23,179.23,4
1753776505,179.24,179.24,179.23,179.23,3
1753776510,179.24,179.24,179.24,179.24,1
1753776515,179.24,179.24,179.24,179.24,0
1753776520,179.25,179.25,179.21,179.21,17
1753776525,179.22,179.29,179.22,179.29,29
1753776530,179.27,179.27,179.27,179.27,1
1753776535,179.27,179.29,179.27,179.29,8
1753776540,179.28,179.28,179.24,179.24,6
1753776545,179.24,179.25,179.24,179.25,4
1753776550,179.25,179.25,179.25,179.25,0
1753776555,179.26,179.26,179.26,179.26,2
1753776560,179.26,179.26,179.26,179.26,3
1753776565,179.27,179.27,179.25,179.25,6
1753776570,179.26,179.26,179.25,179.25,3
1753776575,179.26,179.26,179.26,179.26,4
1753776580,179.25,179.25,179.22,179.25,20
1753776585,179.25,179.25,179.25,179.25,0
1753776590,179.22,179.22,179.22,179.22,10
1753776595,179.22,179.23,179.2,179.22,14
1753776600,179.2,179.2,179.16,179.16,66
1753776605,179.16,179.16,179.16,179.16,4
1753776610,179.16,179.16,179.16,179.16,2
1753776615,179.16,179.18,179.15,179.15,5
1753776620,179.15,179.15,179.09,179.09,33
1753776625,179.1,179.13,179.1,179.13,16
1753776630,179.13,179.13,179.13,179.13,0
1753776635,179.12,179.12,179.12,179.12,2
1753776640,179.12,179.12,179.12,179.12,0
1753776645,179.12,179.12,179.12,179.12,0
1753776650,179.13,179.15,179.11,179.12,16
1753776655,179.12,179.12,179.12,179.12,0
1753776660,179.12,179.13,179.12,179.13,4
1753776665,179.11,179.11,179.1,179.11,11
1753776670,179.11,179.11,179.11,179.11,0
1753776675,179.11,179.11,179.11,179.11,0
1753776680,179.09,179.09,179.09,179.09,2
1753776685,179.09,179.09,179.09,179.09,0
1753776690,179.09,179.09,179.09,179.09,0
1753776695,179.09,179.09,179.09,179.09,0
1753776700,179.07,179.07,179.07,179.07,2
1753776705,179.08,179.08,179.08,179.08,3
1753776710,179.1,179.12,179.1,179.12,9
1753776715,179.12,179.12,179.12,179.12,0
1753776720,179.12,179.12,179.12,179.12,0
1753776725,179.12,179.12,179.12,179.12,0
1753776730,179.13,179.13,179.13,179.13,3
1753776735,179.13,179.13,179.13,179.13,16
1753776740,179.13,179.13,179.13,179.13,0
1753776745,179.11,179.12,179.09,179.12,15
