Date,Open,High,Low,Close,Volume
1758182400,351.4,351.78,351.11,351.11,22
1758182405,351.11,351.11,351.11,351.11,0
1758182410,351.11,351.11,351.11,351.11,0
1758182415,351.11,351.11,351.11,351.11,0
1758182420,351.11,351.11,351.11,351.11,0
1758182425,351.11,351.11,351.11,351.11,2
1758182430,351.11,351.11,350.92,350.92,16
1758182435,350.92,350.92,350.92,350.92,0
1758182440,350.92,350.92,350.92,350.92,0
1758182445,351.44,351.44,351.44,351.44,4
1758182450,351.44,351.44,351.44,351.44,0
1758182455,351.44,351.44,351.44,351.44,0
1758182460,351.44,351.44,351.44,351.44,0
1758182465,351.44,351.44,351.44,351.44,0
1758182470,351.44,351.44,351.44,351.44,0
1758182475,351.44,351.44,351.44,351.44,0
1758182480,351.44,351.44,351.44,351.44,0
1758182485,351.44,351.44,351.44,351.44,0
1758182490,351.44,351.44,351.44,351.44,0
1758182495,351.44,351.44,351.44,351.44,0
1758182500,351.44,351.44,351.44,351.44,0
1758182505,351.44,351.44,351.44,351.44,0
1758182510,351.44,351.44,351.44,351.44,0
1758182515,351.44,351.44,351.44,351.44,0
1758182520,351.44,351.44,351.44,351.44,0
1758182525,351.44,351.44,351.44,351.44,0
1758182530,351.44,351.44,351.44,351.44,0
1758182535,351.44,351.44,351.44,351.44,0
1758182540,351.44,351.44,351.44,351.44,0
1758182545,351.44,351.44,351.44,351.44,0
1758182550,351.44,351.44,351.44,351.44,0
1758182555,351.44,351.44,351.44,351.44,0
1758182560,351.44,351.44,351.44,351.44,0
1758182565,351.44,351.44,351.44,351.44,0
1758182570,351.44,351.44,351.44,351.44,0
1758182575,351.44,351.44,351.44,351.44,0
1758182580,351.44,351.44,351.44,351.44,0
1758182585,351.44,351.44,351.44,351.44,0
1758182590,351.44,351.44,351.44,351.44,0
1758182595,351.44,351.44,351.44,351.44,0
1758182600,351.44,351.44,351.44,351.44,0
1758182605,351.44,351.44,351.44,351.44,0
1758182610,351.44,351.44,351.44,351.44,0
1758182615,351.44,351.44,351.44,351.44,0
1758182620,351.44,351.44,351.44,351.44,0
1758182625,351.44,351.44,351.44,351.44,0
1758182630,351.44,351.44,351.44,351.44,0
1758182635,351.44,351.44,351.44,351.44,0
1758182640,351.44,351.44,351.44,351.44,0
1758182645,351.44,351.44,351.44,351.44,0
1758182650,351.44,351.44,351.44,351.44,0
1758182655,351.44,351.44,351.44,351.44,0
1758182660,351.44,351.44,351.44,351.44,0
1758182665,351.44,351.44,351.44,351.44,0
1758182670,351.44,351.44,351.44,351.44,0
1758182675,351.44,351.44,351.44,351.44,0
1758182680,351.44,351.44,351.44,351.44,0
1758182685,352.51,352.51,352.51,352.51,2
1758182690,352.51,352.51,352.51,352.51,0
1758182695,352.51,352.51,352.51,352.51,0
1758182700,352.51,352.51,352.51,352.51,0
1758182705,352.51,352.51,352.51,352.51,0
1758182710,352.51,352.51,352.51,352.51,0
