Date,Open,High,Low,Close,Volume
1762160400,456.02,457.9,456.02,456.81,50
1762160405,456.7,456.7,456.7,456.7,2
1762160410,456.86,456.89,456.86,456.89,4
1762160415,456.73,457.01,456.58,457.01,15
1762160420,457.01,457.01,457.01,457.01,3
1762160425,457.3,457.3,457.3,457.3,2
1762160430,457.24,457.27,457.18,457.27,4
1762160435,457.48,457.48,457.27,457.27,3
1762160440,457.37,457.44,457.31,457.44,7
1762160445,457.46,457.46,457.4,457.4,21
1762160450,457.4,457.4,457.4,457.4,5
1762160455,457.44,457.44,457.2,457.2,5
1762160460,457.2,457.2,457.2,457.2,1
1762160465,457.39,457.39,457.39,457.39,2
1762160470,457.39,457.39,457.39,457.39,0
1762160475,457.48,457.5,457.48,457.48,19
1762160480,457.55,457.55,457.5,457.5,60
1762160485,457.5,457.5,457.48,457.48,17
1762160490,457.4,457.5,457.4,457.5,32
1762160495,457.23,457.25,457.0,457.0,13
1762160500,456.99,456.99,456.99,456.99,1
1762160505,457.0,457.0,456.9,456.9,31
1762160510,457.14,457.5,457.14,457.5,16
1762160515,457.5,457.5,457.5,457.5,0
1762160520,457.49,457.73,457.03,457.03,41
1762160525,457.01,457.01,456.81,456.81,2
1762160530,457.19,457.73,457.19,457.73,35
1762160535,457.4,457.4,457.38,457.38,2
1762160540,457.4,457.73,457.06,457.73,17
1762160545,457.6,457.6,457.5,457.5,40
1762160550,457.51,457.51,457.33,457.33,32
1762160555,457.51,457.64,457.51,457.64,48
1762160560,457.64,457.64,457.64,457.64,0
1762160565,457.47,457.47,457.47,457.47,3
1762160570,457.49,457.55,457.22,457.47,33
1762160575,457.2,457.2,457.2,457.2,1
1762160580,457.2,457.2,457.2,457.2,0
1762160585,457.41,457.6,457.41,457.41,17
1762160590,457.41,457.41,457.41,457.41,0
1762160595,457.43,457.43,457.43,457.43,1
1762160600,457.43,457.43,457.43,457.43,0
1762160605,457.43,457.43,457.43,457.43,0
1762160610,457.6,457.6,457.59,457.6,3
1762160615,457.6,457.6,457.6,457.6,0
1762160620,457.59,457.59,457.59,457.59,1
1762160625,457.6,457.75,457.59,457.75,46
1762160630,457.75,457.9,457.75,457.9,7
1762160635,457.81,457.81,457.81,457.81,1
1762160640,457.9,458.0,457.9,458.0,27
1762160645,457.92,458.0,457.92,458.0,4
1762160650,457.91,458.0,457.91,458.0,5
1762160655,458.0,458.0,458.0,458.0,9
1762160660,458.0,458.0,456.4,456.94,134
1762160665,456.94,456.94,456.94,456.94,0
1762160670,457.77,457.9,457.68,457.9,7
1762160675,457.81,457.96,457.81,457.81,16
1762160680,457.89,457.89,457.8,457.8,3
1762160685,457.8,457.8,457.8,457.8,0
1762160690,457.85,457.85,457.72,457.72,5
1762160695,457.74,457.74,457.74,457.74,1
1762160700,457.99,458.0,457.85,457.99,46
1762160705,458.0,458.09,458.0,458.09,9
1762160710,457.99,458.08,457.96,457.96,6
1762160715,457.99,458.05,457.9,458.05,37
1762160720,457.95,457.95,457.95,457.95,1
1762160725,457.95,457.95,457.95,457.95,0
1762160730,457.99,458.08,457.99,458.08,3
1762160735,458.01,458.01,457.9,457.9,2
1762160740,457.9,457.9,457.9,457.9,0
1762160745,457.9,457.9,457.9,457.9,0
1762160750,457.9,457.9,457.9,457.9,19
1762160755,457.9,457.9,456.83,456.98,116
1762160760,457.43,457.43,457.43,457.43,1
1762160765,457.21,457.21,457.21,457.21,1
1762160770,457.3,457.3,457.3,457.3,1
1762160775,457.21,457.21,457.21,457.21,1
1762160780,457.41,457.43,457.41,457.43,8
1762160785,457.5,457.5,457.5,457.5,1
1762160790,457.57,457.6,457.57,457.6,2
1762160795,457.6,457.6,457.6,457.6,0
1762160800,457.83,458.0,457.83,458.0,10
1762160805,457.84,457.84,457.83,457.83,5
1762160810,457.83,457.83,457.66,457.66,10
1762160815,457.66,457.66,457.66,457.66,0
1762160820,457.66,457.66,457.66,457.66,0
1762160825,457.66,457.66,457.66,457.66,0
1762160830,457.67,457.71,457.6,457.6,6
1762160835,457.6,457.6,457.6,457.6,0
1762160840,457.6,457.6,457.6,457.6,0
1762160845,457.6,457.6,457.6,457.6,0
1762160850,457.51,457.51,457.51,457.51,1
1762160855,457.65,457.89,457.65,457.86,18
1762160860,457.9,458.0,457.9,457.9,15
1762160865,457.9,457.9,457.9,457.9,0
1762160870,457.8,457.8,457.8,457.8,1
1762160875,457.68,457.68,457.67,457.67,5
1762160880,457.67,457.67,457.67,457.67,0
1762160885,457.67,457.67,457.67,457.67,0
1762160890,457.51,457.58,457.4,457.43,36
1762160895,457.43,457.43,457.43,457.43,0
1762160900,457.43,457.43,457.43,457.43,0
1762160905,457.56,457.56,457.56,457.56,1
1762160910,457.48,457.48,457.48,457.48,4
1762160915,457.48,457.48,457.48,457.48,0
1762160920,457.48,457.48,457.48,457.48,0
1762160925,457.79,457.9,457.69,457.69,8
1762160930,457.69,457.69,457.69,457.69,0
1762160935,457.69,457.69,457.69,457.69,0
1762160940,457.79,457.9,457.79,457.9,5
1762160945,457.9,457.9,457.9,457.9,0
1762160950,457.9,457.9,457.9,457.9,0
1762160955,457.97,458.08,457.85,457.85,53
1762160960,457.83,457.83,457.83,457.83,1
1762160965,457.86,457.86,457.8,457.8,3
1762160970,457.8,457.8,457.8,457.8,0
1762160975,457.66,457.88,457.65,457.83,22
1762160980,457.83,457.83,457.83,457.83,0
1762160985,457.83,457.83,457.83,457.83,0
1762160990,457.83,457.83,457.83,457.83,0
1762160995,457.85,457.85,457.79,457.79,5
1762161000,457.79,457.79,457.79,457.79,0
1762161005,457.79,457.79,457.79,457.79,1
1762161010,457.79,457.79,457.79,457.79,0
1762161015,457.79,457.81,457.79,457.81,2
1762161020,457.73,457.73,457.44,457.7,13
1762161025,457.7,457.7,457.7,457.7,0
1762161030,457.61,457.61,457.61,457.61,1
1762161035,457.61,457.61,457.61,457.61,0
