iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bagging_fraction,param_bagging_freq,param_feature_fraction,param_lambda_l1,param_lambda_l2,param_learning_rate,param_max_depth,param_min_data_in_leaf,param_n_estimators,param_num_leaves,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score
3,5400,4.740434169769287,0.10972189903259277,0.09467792510986328,0.001878976821899414,0.7956488938538635,5,0.9661638227728979,0.04822149251619493,0.06079712296915085,0.07232447872229951,6,8,7885,4095,"{'bagging_fraction': np.float64(0.7956488938538635), 'bagging_freq': 5, 'feature_fraction': np.float64(0.9661638227728979), 'lambda_l1': np.float64(0.04822149251619493), 'lambda_l2': np.float64(0.06079712296915085), 'learning_rate': np.float64(0.07232447872229951), 'max_depth': 6, 'min_data_in_leaf': 8, 'n_estimators': 7885, 'num_leaves': 4095}",-0.006608071792120042,-0.04633407187841094,-0.02647107183526549,0.019863000043145448,1,-3.2305251705788584e-06,-2.399068061444579e-06,-2.814796616011719e-06,4.157285545671397e-07
3,5400,2.3657790422439575,0.06513798236846924,0.11292088031768799,0.011201977729797363,0.9952525710003366,3,0.8116054257378349,0.07864129607419969,0.17140177012650892,0.09407573256035648,42,15,3940,2047,"{'bagging_fraction': np.float64(0.9952525710003366), 'bagging_freq': 3, 'feature_fraction': np.float64(0.8116054257378349), 'lambda_l1': np.float64(0.07864129607419969), 'lambda_l2': np.float64(0.17140177012650892), 'learning_rate': np.float64(0.09407573256035648), 'max_depth': 42, 'min_data_in_leaf': 15, 'n_estimators': 3940, 'num_leaves': 2047}",-0.0077937551446881715,-0.05254998421843581,-0.03017186968156199,0.02237811453687382,2,-9.317654353489686e-06,-1.013518212807913e-05,-9.726418240784407e-06,4.087638872947219e-07
1,600,2.621691942214966,0.20966005325317383,0.06311905384063721,0.00689089298248291,0.5126753717077288,4,0.7242618899851593,0.04383144749401078,0.3452499503826832,0.006819359550844361,63,4,8305,4095,"{'bagging_fraction': np.float64(0.5126753717077288), 'bagging_freq': 4, 'feature_fraction': np.float64(0.7242618899851593), 'lambda_l1': np.float64(0.04383144749401078), 'lambda_l2': np.float64(0.3452499503826832), 'learning_rate': np.float64(0.006819359550844361), 'max_depth': 63, 'min_data_in_leaf': 4, 'n_estimators': 8305, 'num_leaves': 4095}",-0.012210167050270618,-0.06562632662922235,-0.038918246839746484,0.02670807978947587,3,-1.2353086189099139e-05,-1.793058644098247e-05,-1.5141836315040806e-05,2.7887501259416665e-06
2,1800,2.073279023170471,0.1260000467300415,0.018727540969848633,0.004035472869873047,0.7956488938538635,5,0.9661638227728979,0.04822149251619493,0.06079712296915085,0.07232447872229951,6,8,7885,4095,"{'bagging_fraction': np.float64(0.7956488938538635), 'bagging_freq': 5, 'feature_fraction': np.float64(0.9661638227728979), 'lambda_l1': np.float64(0.04822149251619493), 'lambda_l2': np.float64(0.06079712296915085), 'learning_rate': np.float64(0.07232447872229951), 'max_depth': 6, 'min_data_in_leaf': 8, 'n_estimators': 7885, 'num_leaves': 4095}",-0.011913292483754737,-0.06807729214653412,-0.039995292315144426,0.02808199983138969,4,-6.418504965602514e-06,-5.5379159878592e-06,-5.9782104767308565e-06,4.402944888716568e-07
1,600,0.7527384757995605,0.05768752098083496,0.005532383918762207,0.001206517219543457,0.7956488938538635,5,0.9661638227728979,0.04822149251619493,0.06079712296915085,0.07232447872229951,6,8,7885,4095,"{'bagging_fraction': np.float64(0.7956488938538635), 'bagging_freq': 5, 'feature_fraction': np.float64(0.9661638227728979), 'lambda_l1': np.float64(0.04822149251619493), 'lambda_l2': np.float64(0.06079712296915085), 'learning_rate': np.float64(0.07232447872229951), 'max_depth': 6, 'min_data_in_leaf': 8, 'n_estimators': 7885, 'num_leaves': 4095}",-0.01460845183625822,-0.06555989272724003,-0.040084172281749125,0.025475720445490905,5,-1.3518485516118683e-05,-1.3183918470699114e-05,-1.3351201993408898e-05,1.672835227097842e-07
2,1800,1.1014610528945923,0.12554800510406494,0.02730393409729004,0.00471186637878418,0.9952525710003366,3,0.8116054257378349,0.07864129607419969,0.17140177012650892,0.09407573256035648,42,15,3940,2047,"{'bagging_fraction': np.float64(0.9952525710003366), 'bagging_freq': 3, 'feature_fraction': np.float64(0.8116054257378349), 'lambda_l1': np.float64(0.07864129607419969), 'lambda_l2': np.float64(0.17140177012650892), 'learning_rate': np.float64(0.09407573256035648), 'max_depth': 42, 'min_data_in_leaf': 15, 'n_estimators': 3940, 'num_leaves': 2047}",-0.011845571907497373,-0.06939482456729008,-0.040620198237393726,0.028774626329896354,6,-2.076682280975675e-05,-2.0942280934506026e-05,-2.085455187213139e-05,8.772906237463737e-08
2,1800,1.639618992805481,0.14898288249969482,0.06812059879302979,0.0016955137252807617,0.8144714233899419,4,0.7117558980026938,0.04279460317155788,0.48479027576012373,0.05579718832480873,42,12,3467,511,"{'bagging_fraction': np.float64(0.8144714233899419), 'bagging_freq': 4, 'feature_fraction': np.float64(0.7117558980026938), 'lambda_l1': np.float64(0.04279460317155788), 'lambda_l2': np.float64(0.48479027576012373), 'learning_rate': np.float64(0.05579718832480873), 'max_depth': 42, 'min_data_in_leaf': 12, 'n_estimators': 3467, 'num_leaves': 511}",-0.011322116036688467,-0.0704881646160469,-0.04090514032636768,0.029583024289679218,7,-3.83161640508754e-06,-4.812905092564127e-06,-4.322260748825833e-06,4.906443437382934e-07
1,600,0.4678548574447632,0.08223903179168701,0.013430953025817871,0.0030461549758911133,0.8144714233899419,4,0.7117558980026938,0.04279460317155788,0.48479027576012373,0.05579718832480873,42,12,3467,511,"{'bagging_fraction': np.float64(0.8144714233899419), 'bagging_freq': 4, 'feature_fraction': np.float64(0.7117558980026938), 'lambda_l1': np.float64(0.04279460317155788), 'lambda_l2': np.float64(0.48479027576012373), 'learning_rate': np.float64(0.05579718832480873), 'max_depth': 42, 'min_data_in_leaf': 12, 'n_estimators': 3467, 'num_leaves': 511}",-0.013326494889574133,-0.06941056667964368,-0.041368530784608906,0.028042035895034775,8,-9.973997262383754e-06,-1.060970471504707e-05,-1.0291850988715412e-05,3.1785372633165747e-07
1,600,0.5818612575531006,0.0622248649597168,0.008762359619140625,0.0017673969268798828,0.918855052953664,2,0.8023199053150775,0.012347352124058908,0.4633468091392814,0.0887339353380981,40,10,6787,255,"{'bagging_fraction': np.float64(0.918855052953664), 'bagging_freq': 2, 'feature_fraction': np.float64(0.8023199053150775), 'lambda_l1': np.float64(0.012347352124058908), 'lambda_l2': np.float64(0.4633468091392814), 'learning_rate': np.float64(0.0887339353380981), 'max_depth': 40, 'min_data_in_leaf': 10, 'n_estimators': 6787, 'num_leaves': 255}",-0.01437835972416841,-0.06883331548773874,-0.04160583760595358,0.027227477881785166,9,-1.2462400767641056e-06,-1.2160788560890455e-06,-1.2311594664265754e-06,1.5080610337530072e-08
1,600,0.36773204803466797,0.05549907684326172,0.006082892417907715,0.0021010637283325195,0.9952525710003366,3,0.8116054257378349,0.07864129607419969,0.17140177012650892,0.09407573256035648,42,15,3940,2047,"{'bagging_fraction': np.float64(0.9952525710003366), 'bagging_freq': 3, 'feature_fraction': np.float64(0.8116054257378349), 'lambda_l1': np.float64(0.07864129607419969), 'lambda_l2': np.float64(0.17140177012650892), 'learning_rate': np.float64(0.09407573256035648), 'max_depth': 42, 'min_data_in_leaf': 15, 'n_estimators': 3940, 'num_leaves': 2047}",-0.01666301908799407,-0.06792899880584734,-0.042296008946920705,0.025632989858926633,10,-5.819048996307885e-05,-6.442567765490607e-05,-6.130808380899246e-05,3.117593845913613e-06
