Feature,Correlation,Abs_Correlation
ATR_14_Pct,0.49751645670865424,0.49751645670865424
ATR_14,0.4957889857991291,0.4957889857991291
ASI_Bear_28,0.46120438082362525,0.46120438082362525
ASI_Bull_28,0.45058523266594314,0.45058523266594314
RollingStd_50,0.4294000743891574,0.4294000743891574
Volatility_50,0.4294000743891574,0.4294000743891574
ASI_Bear_14,0.42598053043258133,0.42598053043258133
RollingStd_20,0.42207842007224294,0.42207842007224294
Volatility_20,0.42207842007224294,0.42207842007224294
ASI_Bull_14,0.4135986621856286,0.4135986621856286
RollingStd_10,0.40749500328168675,0.40749500328168675
Volatility_10,0.40749500328168675,0.40749500328168675
BB_20_STD,0.3858731058309709,0.3858731058309709
BB_50_STD,0.3833099825459278,0.3833099825459278
BB_10_STD,0.3782216591072988,0.3782216591072988
RollingStd_5,0.377339609517281,0.377339609517281
ASI_Bear_7,0.3746033213600773,0.3746033213600773
BB_20_3_Upper_vs_Low,0.3682128888097124,0.3682128888097124
ASI_Bull_7,0.3589516126769494,0.3589516126769494
BB_20_3_Lower_vs_High,-0.3577445591832175,0.3577445591832175
BB_20_3_Upper_vs_Close,0.34117876248955287,0.34117876248955287
BB_20_2_Upper_vs_Low,0.34007326060321563,0.34007326060321563
RollingMax_10,0.3306646271206141,0.3306646271206141
RollingMin_10,-0.3293771403542119,0.3293771403542119
RollingMax_20,0.32859346410738993,0.32859346410738993
BB_20_2_Lower_vs_High,-0.32820669202041985,0.32820669202041985
RollingMin_20,-0.32771842999391243,0.32771842999391243
BB_20_3_Lower_vs_Close,-0.32574072584857644,0.32574072584857644
BB_20_3_Upper_vs_High,0.30958156324930053,0.30958156324930053
RollingMin_5,-0.30831410700977036,0.30831410700977036
RollingMin_50,-0.3055670076840067,0.3055670076840067
VXM_BB_50_STD,0.30476815247120964,0.30476815247120964
RollingMax_5,0.3027746645026239,0.3027746645026239
RollingMax_50,0.3016589786208909,0.3016589786208909
BB_20_2_Upper_vs_Close,0.2989362089847027,0.2989362089847027
BB_20_3_Lower_vs_Low,-0.2973332960237044,0.2973332960237044
VXM_BB_20_STD,0.28182100088623174,0.28182100088623174
BB_20_2_Lower_vs_Close,-0.280851414224697,0.280851414224697
BB_20_1_Upper_vs_Low,0.26815503213808156,0.26815503213808156
hour_cos,-0.2584329037372889,0.2584329037372889
BB_20_1_Lower_vs_High,-0.25641637031114883,0.25641637031114883
BB_20_2_Upper_vs_High,0.2504773184158826,0.2504773184158826
VXM_BB_10_STD,0.2477261152555721,0.2477261152555721
Volume,0.24447089600070543,0.24447089600070543
BB_20_2_Lower_vs_Low,-0.23678051143518045,0.23678051143518045
Hours_From_Overnight_Trading,0.22350119712574437,0.22350119712574437
RSI_7_x_Volume,0.2134289087188887,0.2134289087188887
VXM_BB_50_3_Upper,0.20609561433902399,0.20609561433902399
VXM_BB_50_2_Upper,0.20379566325442325,0.20379566325442325
VXM_BB_20_3_Upper,0.20369061671883243,0.20369061671883243
VXM_BB_20_2_Upper,0.20219521748749786,0.20219521748749786
VXM_BB_50_1_Upper,0.20146175914474357,0.20146175914474357
VXM_BB_20_1_Upper,0.20068534524438894,0.20068534524438894
BB_20_1_Upper_vs_Close,0.19986210904443902,0.19986210904443902
VXM_High,0.1992392596025605,0.1992392596025605
VXM_Open,0.19918065431588503,0.19918065431588503
VXM_EMA_10,0.1991697693715344,0.1991697693715344
VXM_Close,0.19916452394227716,0.19916452394227716
VXM_EMA_20,0.1991571770430035,0.1991571770430035
VXM_Low,0.19910549957388818,0.19910549957388818
VXM_BB_50_MA,0.19909397499403525,0.19909397499403525
VXM_EMA_50,0.19908992078804874,0.19908992078804874
VXM_BB_20_1_Lower,0.1976224032318347,0.1976224032318347
VXM_BB_50_1_Lower,0.1966924135450503,0.1966924135450503
VXM_BB_20_2_Lower,0.19606945998351322,0.19606945998351322
VXM_BB_20_3_Lower,0.19450229690562218,0.19450229690562218
VXM_BB_50_2_Lower,0.1942572080915943,0.1942572080915943
VXM_BB_50_3_Lower,0.1917885232258212,0.1917885232258212
BB_20_1_Lower_vs_Close,-0.18083927583052317,0.18083927583052317
VXM_ES_Ratio,0.1729283105904103,0.1729283105904103
VXM_BB_20_1_Upper_vs_VXM_Low,0.16436513279007747,0.16436513279007747
VXM_BB_20_1_Upper_vs_VXM_Close,0.15893394610481928,0.15893394610481928
VXM_BB_20_1_Lower_vs_VXM_High,-0.1542790183645624,0.1542790183645624
VXM_BB_20_1_Upper_vs_VXM_High,0.15339900753264804,0.15339900753264804
VXM_BB_20_1_Lower_vs_VXM_Close,-0.14852536950494655,0.14852536950494655
VXM_BB_20_1_Lower_vs_VXM_Low,-0.1446095806784084,0.1446095806784084
BB_20_1_Upper_vs_High,0.11954813299206875,0.11954813299206875
BB_20_1_Lower_vs_Low,-0.10741986963275209,0.10741986963275209
month_sin,0.09067668003408592,0.09067668003408592
TrendStrength_20,-0.08797047633592386,0.08797047633592386
TrendStrength_10,-0.07748251523610819,0.07748251523610819
VXM_Volume,0.03988199797953607,0.03988199797953607
Volatility_Ratio,0.039347651687332966,0.039347651687332966
month_cos,0.0346782944167817,0.0346782944167817
day_cos,-0.033807194578922034,0.033807194578922034
MFI_7,-0.03250809821822108,0.03250809821822108
hour_sin,0.03171072161256699,0.03171072161256699
PricePosition_50,-0.024749516752056465,0.024749516752056465
RSI_28,-0.023356223087410415,0.023356223087410415
MFI_28,-0.022626713279954625,0.022626713279954625
RSI_7,-0.022128285876749525,0.022128285876749525
MFI_14,-0.021590709881002847,0.021590709881002847
PricePosition_10,-0.021096362042037575,0.021096362042037575
RSI_14,-0.021088680208943573,0.021088680208943573
PricePosition_20,-0.02031722989181066,0.02031722989181066
RollingMean_50,-0.017347531850466117,0.017347531850466117
BB_50_3_Upper,0.010310233571373045,0.010310233571373045
BB_50_2_Upper,0.009291368672010136,0.009291368672010136
BB_20_3_Upper,0.0091978890781224,0.0091978890781224
BB_20_2_Upper,0.008534520820826138,0.008534520820826138
RollingMean_5,-0.008455499795497083,0.008455499795497083
BB_50_1_Upper,0.00827211922845975,0.00827211922845975
Momentum_10,-0.008174952134088209,0.008174952134088209
RollingMean_20,-0.008106177850436758,0.008106177850436758
BB_20_1_Upper,0.007871000777041644,0.007871000777041644
Momentum_5,-0.007726215185174212,0.007726215185174212
EMA_50,0.007256756596957712,0.007256756596957712
BB_50_MA,0.0072525066463044975,0.0072525066463044975
EMA_20,0.007210818950530255,0.007210818950530255
EMA_10,0.007199850700875057,0.007199850700875057
BB_20_1_Lower,0.006543528668993166,0.006543528668993166
BB_50_1_Lower,0.006232552373476387,0.006232552373476387
RollingMean_10,-0.005900606667843287,0.005900606667843287
BB_20_2_Lower,0.005879588291784947,0.005879588291784947
BB_20_3_Lower,0.0052155195016909284,0.0052155195016909284
BB_50_2_Lower,0.005212277898031607,0.005212277898031607
Hours_From_Formal_Trading,0.005047840382188011,0.005047840382188011
BB_50_3_Lower,0.004191704745907759,0.004191704745907759
PctChange_Lag_1,-0.0035923730099068213,0.0035923730099068213
day_sin,-0.0024101267259896554,0.0024101267259896554
VXM_PctChange_Lag_2,0.002091779749336339,0.002091779749336339
PctChange_Lag_20,-0.0020447030400997414,0.0020447030400997414
PctChange_Lag_2,-0.0016838427616768716,0.0016838427616768716
VXM_PctChange,-0.0012170951112266551,0.0012170951112266551
VXM_PctChange_Lag_1,0.0011124658656928678,0.0011124658656928678
PctChange_Lag_3,-0.0006797011272517099,0.0006797011272517099
PctChange_Lag_5,-0.000379785145218523,0.000379785145218523
PctChange_Lag_10,0.00023171887809280372,0.00023171887809280372
