feature,importance_split,importance_gain
ATR_14_Pct,241,915943.0871713161
ATR_14,142,89717.19559943676
RollingStd_50,313,50128.56263375282
Volume,325,9770.893190026283
ASI_Bear_28,146,6435.062873482704
Hours_From_Overnight_Trading,371,5939.418848156929
BB_20_1_Lower_vs_Close,123,2864.816850423813
ASI_Bull_7,195,2628.635213136673
BB_20_2_Lower_vs_Close,86,1686.4860179424286
ASI_Bear_7,74,1446.2406215667725
VXM_BB_50_STD,88,1358.3922855854034
VXM_BB_50_3_Upper,71,1288.6973135471344
BB_20_1_Upper_vs_High,80,1212.557030916214
VXM_ES_Ratio,110,1201.7762851119041
RollingMin_20,87,970.805184841156
BB_20_2_Upper_vs_High,68,966.7239048480988
Volatility_50,14,932.4559674263
RollingStd_20,67,757.0643496513367
hour_cos,69,710.6905680894852
ASI_Bull_14,38,707.4467384815216
BB_50_STD,71,705.9731011390686
RollingMin_50,58,675.9040579795837
BB_20_3_Upper_vs_High,45,578.7830449342728
RollingMax_50,70,573.1380622386932
month_sin,51,550.1990135908127
RSI_7_x_Volume,63,547.390527009964
VXM_BB_10_STD,33,520.5658032894135
BB_20_1_Upper_vs_Close,35,499.6958613395691
RollingMax_20,54,467.63544964790344
RollingStd_10,47,434.1817771792412
RollingMax_10,41,398.218181848526
VXM_BB_20_3_Lower,23,372.68260192871094
TrendStrength_20,33,365.70073914527893
VXM_BB_50_2_Upper,22,346.9376518726349
BB_20_1_Lower_vs_High,33,333.28124940395355
RollingMin_5,34,327.387582719326
BB_20_3_Upper_vs_Close,20,315.4985408782959
VXM_BB_20_2_Lower,19,310.78390169143677
BB_20_1_Upper_vs_Low,37,303.92044019699097
BB_20_STD,34,296.17090249061584
RollingMin_10,36,273.5051785707474
BB_20_3_Lower_vs_Low,18,267.85773277282715
VXM_BB_20_STD,32,265.5732798576355
VXM_High,17,262.9279398918152
VXM_BB_20_1_Upper,16,253.96007990837097
VXM_BB_50_MA,20,248.43096113204956
BB_20_3_Lower_vs_Close,20,229.9876093864441
RollingMax_5,32,228.63138055801392
BB_20_2_Upper_vs_Close,27,222.65087890625
ASI_Bull_28,25,219.5909481048584
VXM_BB_50_3_Lower,20,209.98741948604584
BB_20_1_Lower_vs_Low,22,208.2493712902069
VXM_EMA_50,14,199.69522190093994
VXM_BB_20_3_Upper,16,196.95440888404846
BB_20_2_Upper_vs_Low,22,192.6210399866104
ASI_Bear_14,19,186.1178115606308
VXM_BB_50_1_Lower,15,182.03124976158142
RollingStd_5,17,180.13412618637085
BB_20_2_Lower_vs_Low,13,171.0189824104309
BB_10_STD,21,167.397190451622
VXM_BB_50_1_Upper,13,164.97569036483765
VXM_Open,4,155.2419319152832
BB_20_2_Lower_vs_High,17,140.77037024497986
VXM_BB_20_1_Lower_vs_VXM_Close,14,136.71010851860046
VXM_BB_20_1_Lower,8,133.79554080963135
VXM_BB_20_1_Upper_vs_VXM_High,14,132.89521098136902
BB_20_3_Upper_vs_Low,16,124.72316098213196
VXM_EMA_20,6,111.92582058906555
VXM_BB_50_2_Lower,11,104.51203083992004
VXM_BB_20_1_Upper_vs_VXM_Low,16,99.46745920181274
VXM_EMA_10,9,97.84571015834808
VXM_BB_20_2_Upper,5,96.50993251800537
VXM_Close,7,90.19920015335083
VXM_BB_20_1_Lower_vs_VXM_Low,9,66.1208946108818
BB_20_3_Lower_vs_High,8,62.99720001220703
VXM_BB_20_1_Upper_vs_VXM_Close,7,58.48084878921509
VXM_Low,3,57.39584159851074
Volatility_20,3,56.66760063171387
VXM_BB_20_1_Lower_vs_VXM_High,8,33.376049876213074
Volatility_10,1,10.46090030670166
