Feature,Correlation,Abs_Correlation
ATR_14,-0.7392744234001759,0.7392744234001759
ATR_14_Pct,-0.731501465298313,0.731501465298313
RSI_7_x_Volume,-0.7260115657672224,0.7260115657672224
BB_10_STD,-0.6730971929402382,0.6730971929402382
BB_20_2_Lower_vs_High,0.6706250661762464,0.6706250661762464
BB_20_1_Lower_vs_High,0.6653422387326848,0.6653422387326848
BB_20_3_Lower_vs_High,0.657743164885108,0.657743164885108
BB_20_3_Lower_vs_Close,0.631927925828795,0.631927925828795
BB_20_2_Lower_vs_Close,0.6304233376141215,0.6304233376141215
Volume,-0.6151759039245226,0.6151759039245226
BB_20_1_Lower_vs_Close,0.5938895966404669,0.5938895966404669
BB_20_STD,-0.5189072653255754,0.5189072653255754
Hours_From_Overnight_Trading,-0.4699494339497655,0.4699494339497655
TrendStrength_20,-0.4317885170795888,0.4317885170795888
BB_20_3_Upper_vs_Low,-0.4274981876878957,0.4274981876878957
BB_20_3_Lower_vs_Low,0.4193486507398351,0.4193486507398351
TrendStrength_10,-0.41378490830146697,0.41378490830146697
BB_20_1_Upper_vs_High,0.39876177628305026,0.39876177628305026
BB_50_STD,-0.3928037962445965,0.3928037962445965
BB_20_2_Upper_vs_Low,-0.36983154108236516,0.36983154108236516
hour_cos,0.3585082141464991,0.3585082141464991
BB_20_2_Lower_vs_Low,0.35009932892141976,0.35009932892141976
VXM_BB_50_3_Upper,-0.30038676656201074,0.30038676656201074
VXM_BB_50_2_Upper,-0.3000283793736107,0.3000283793736107
VXM_BB_20_3_Upper,-0.2999787166512314,0.2999787166512314
VXM_BB_20_2_Upper,-0.29976812689184884,0.29976812689184884
VXM_BB_50_1_Upper,-0.2996209014168105,0.2996209014168105
VXM_BB_20_1_Upper,-0.29953465566652754,0.29953465566652754
VXM_High,-0.29934065906049834,0.29934065906049834
VXM_Open,-0.2993271758228113,0.2993271758228113
VXM_EMA_10,-0.2993093621638469,0.2993093621638469
VXM_Close,-0.299300374280403,0.299300374280403
VXM_Low,-0.299285132883658,0.299285132883658
VXM_EMA_20,-0.2992782608203523,0.2992782608203523
VXM_EMA_50,-0.29918390975316717,0.29918390975316717
VXM_BB_50_MA,-0.2991634281304241,0.2991634281304241
VXM_BB_20_1_Lower,-0.2989981262449844,0.2989981262449844
VXM_BB_20_2_Lower,-0.29869462833337884,0.29869462833337884
VXM_BB_50_1_Lower,-0.29865510577216264,0.29865510577216264
VXM_BB_20_3_Lower,-0.29836737057614426,0.29836737057614426
VXM_BB_50_2_Lower,-0.29809513556282036,0.29809513556282036
VXM_BB_50_3_Lower,-0.2974827777630199,0.2974827777630199
hour_sin,0.2928278437667083,0.2928278437667083
BB_20_1_Upper_vs_Low,-0.2493061737950475,0.2493061737950475
RSI_7,-0.24732958810313113,0.24732958810313113
BB_20_1_Upper_vs_Close,0.2406682500074647,0.2406682500074647
month_cos,-0.23973275645943823,0.23973275645943823
RSI_14,-0.2361763889748295,0.2361763889748295
BB_50_3_Upper,-0.21710529016667918,0.21710529016667918
BB_20_3_Upper,-0.2166068124897722,0.2166068124897722
BB_50_2_Upper,-0.21587696072685855,0.21587696072685855
BB_20_2_Upper,-0.21550196210700054,0.21550196210700054
BB_50_1_Upper,-0.2146452400292195,0.2146452400292195
BB_20_1_Upper,-0.21439520723102024,0.21439520723102024
EMA_10,-0.21374631411137698,0.21374631411137698
EMA_50,-0.21354847763588555,0.21354847763588555
EMA_20,-0.21347115716029572,0.21347115716029572
BB_50_MA,-0.21341016215666864,0.21341016215666864
BB_20_1_Lower,-0.2121760385603513,0.2121760385603513
BB_50_1_Lower,-0.21217176160951226,0.21217176160951226
BB_20_2_Lower,-0.21106365233730456,0.21106365233730456
BB_50_2_Lower,-0.21093007330148308,0.21093007330148308
RSI_28,-0.21069171340379111,0.21069171340379111
BB_20_3_Lower,-0.2099494167631481,0.2099494167631481
BB_50_3_Lower,-0.20968513255525864,0.20968513255525864
BB_20_1_Lower_vs_Low,0.2057986764372157,0.2057986764372157
month_sin,0.20187967035462892,0.20187967035462892
Hours_From_Formal_Trading,-0.1831822478230019,0.1831822478230019
BB_20_2_Upper_vs_High,0.1406868763437843,0.1406868763437843
BB_20_3_Upper_vs_Close,-0.13769956361063748,0.13769956361063748
VXM_ES_Ratio,-0.1371997626623072,0.1371997626623072
Momentum_10,-0.1285039880886246,0.1285039880886246
Momentum_5,-0.1283849361526693,0.1283849361526693
MFI_14,-0.12548021374356533,0.12548021374356533
MFI_28,-0.12380390993529765,0.12380390993529765
VXM_BB_50_STD,-0.11884700041224544,0.11884700041224544
MFI_7,-0.11615725191314283,0.11615725191314283
Volatility_50,0.1106024642320393,0.1106024642320393
RollingStd_50,0.1106024642320393,0.1106024642320393
VXM_BB_20_STD,-0.09934916757807673,0.09934916757807673
RollingStd_20,0.09648372324206374,0.09648372324206374
Volatility_20,0.09648372324206374,0.09648372324206374
VXM_BB_10_STD,-0.08460077831737721,0.08460077831737721
RollingMin_20,-0.08443489866991061,0.08443489866991061
RollingMin_10,-0.08371314074739912,0.08371314074739912
day_cos,0.08258442153899553,0.08258442153899553
RollingStd_10,0.08233644411239202,0.08233644411239202
Volatility_10,0.08233644411239202,0.08233644411239202
RollingMin_50,-0.08116672952186,0.08116672952186
RollingMin_5,-0.07945494439377886,0.07945494439377886
Volatility_Ratio,-0.07569174021213572,0.07569174021213572
RollingMean_5,-0.07387290392958216,0.07387290392958216
RollingMax_50,0.06769171512409529,0.06769171512409529
RollingMax_20,0.06509604533229069,0.06509604533229069
PricePosition_10,-0.0626208262530921,0.0626208262530921
RollingStd_5,0.05945317678592214,0.05945317678592214
BB_20_3_Upper_vs_High,-0.0550662674896515,0.0550662674896515
VXM_BB_20_1_Lower_vs_VXM_High,0.05500896087857404,0.05500896087857404
VXM_BB_20_1_Upper_vs_VXM_Low,-0.05216947156631486,0.05216947156631486
VXM_BB_20_1_Lower_vs_VXM_Close,0.0518931261872581,0.0518931261872581
RollingMax_10,0.0518737827072068,0.0518737827072068
VXM_BB_20_1_Lower_vs_VXM_Low,0.05059013127584573,0.05059013127584573
VXM_BB_20_1_Upper_vs_VXM_Close,-0.05054583703410377,0.05054583703410377
VXM_BB_20_1_Upper_vs_VXM_High,-0.04742460828631056,0.04742460828631056
RollingMean_10,-0.0470158328899499,0.0470158328899499
PricePosition_20,-0.04381055214606993,0.04381055214606993
day_sin,-0.02882640942565103,0.02882640942565103
RollingMean_20,-0.027005123462065895,0.027005123462065895
VXM_Volume,-0.025581441015249305,0.025581441015249305
PricePosition_50,-0.020936142406914153,0.020936142406914153
VXM_PctChange,0.01600658190266906,0.01600658190266906
BB_20_2_Upper_vs_Close,0.01529375649358437,0.01529375649358437
RollingMax_5,0.014911740917707061,0.014911740917707061
RollingMean_50,-0.006298026281842313,0.006298026281842313
PctChange_Lag_2,0.0057295533398721,0.0057295533398721
PctChange_Lag_1,0.005363274559475727,0.005363274559475727
PctChange_Lag_3,0.0048898560468097095,0.0048898560468097095
PctChange_Lag_10,0.0030159548848726517,0.0030159548848726517
PctChange_Lag_5,0.0029261241455280015,0.0029261241455280015
VXM_PctChange_Lag_2,-0.0027900036871550313,0.0027900036871550313
PctChange_Lag_20,0.0024194886555603196,0.0024194886555603196
VXM_PctChange_Lag_1,-0.002005133833469381,0.002005133833469381
