feature,importance_split,importance_gain
RSI_7_x_Volume,31762,1564545.1749098282
ATR_14_Pct,14772,187388.24991179068
BB_20_1_Upper_vs_High,23241,125815.41096816582
BB_20_3_Lower_vs_Low,32250,90863.42525310008
BB_20_1_Lower_vs_Close,20211,70411.97854925455
BB_20_3_Lower_vs_Close,20171,58132.105385588955
BB_10_STD,16144,38488.48310007783
BB_20_2_Upper_vs_Low,29842,37220.63747553638
Volume,28912,34308.786583085035
BB_20_2_Lower_vs_Close,15202,15398.176125242957
TrendStrength_10,12926,12929.026256883242
ATR_14,30014,12016.411595112888
BB_20_3_Upper_vs_Low,19038,9494.749608728656
BB_20_1_Lower_vs_High,12801,8645.233897814127
BB_20_STD,12158,6780.593118167715
Hours_From_Overnight_Trading,20802,6514.865259568677
TrendStrength_20,14195,3239.7148282676985
BB_20_2_Lower_vs_High,9783,2999.1852665562874
BB_50_STD,12579,1994.496624331402
BB_20_3_Lower_vs_High,11095,1993.392368043118
