feature,family,lag,volume_normalized,target,horizon,target_kind,correlation,abs_correlation,n_samples
ES_pct_360,ES,360,False,ES_fwd_ret_360,360,signed,0.03515051956681736,0.03515051956681736,1026184
SPX_pct_360,SPX,360,False,ES_fwd_ret_360,360,signed,0.03490654442186131,0.03490654442186131,1026184
SPY_pct_360,SPY,360,False,ES_fwd_ret_360,360,signed,0.034896217050424366,0.034896217050424366,1026184
ES_pct_300,ES,300,False,ES_fwd_ret_360,360,signed,0.029953584769403827,0.029953584769403827,1041964
SPY_pct_300,SPY,300,False,ES_fwd_ret_360,360,signed,0.02973177574321867,0.02973177574321867,1041964
SPX_pct_300,SPX,300,False,ES_fwd_ret_360,360,signed,0.029468777076680296,0.029468777076680296,1041964
ES_pct_240,ES,240,False,ES_fwd_ret_360,360,signed,0.02602824895443299,0.02602824895443299,1057744
SPY_pct_240,SPY,240,False,ES_fwd_ret_360,360,signed,0.02583600832053719,0.02583600832053719,1057744
SPX_pct_240,SPX,240,False,ES_fwd_ret_360,360,signed,0.025526720801960202,0.025526720801960202,1057744
SPY_pct_360,SPY,360,False,ES_fwd_up_360,360,binary,0.02350217411147643,0.02350217411147643,995862
ES_pct_360,ES,360,False,ES_fwd_up_360,360,binary,0.02345733636778643,0.02345733636778643,995862
ES_pct_360,ES,360,False,ES_fwd_ret_240,240,signed,0.023438129768072257,0.023438129768072257,1057744
SPX_pct_360,SPX,360,False,ES_fwd_up_360,360,binary,0.02332646087012999,0.02332646087012999,995862
SPY_pct_360,SPY,360,False,ES_fwd_ret_240,240,signed,0.02329448412434821,0.02329448412434821,1057744
SPX_pct_360,SPX,360,False,ES_fwd_ret_240,240,signed,0.02313106104314807,0.02313106104314807,1057744
SPY_pct_300,SPY,300,False,ES_fwd_up_360,360,binary,0.02137598808839036,0.02137598808839036,1011251
ES_pct_300,ES,300,False,ES_fwd_up_360,360,binary,0.021321797924619544,0.021321797924619544,1011251
SPY_pct_240,SPY,240,False,ES_fwd_up_360,360,binary,0.02096856510976503,0.02096856510976503,1026674
SPX_pct_300,SPX,300,False,ES_fwd_up_360,360,binary,0.02096104572832505,0.02096104572832505,1011251
