====================================================================================================
RL TRAINING LOG
====================================================================================================

Training Period: Episodes 0 to 418
Total Episodes: 419

EPISODE-BY-EPISODE P&L TRENDS
----------------------------------------------------------------------------------------------------
Episode    P&L             Reward          Loss            Steps     
----------------------------------------------------------------------------------------------------
0          $-2687.75       -707.60         2068.157946     986       
1          $-2631.25       -648.92         1620.451143     972       
2          $-866.75        1112.97         4933.747621     1119      
3          $-2209.50       -231.18         194.915032      957       
4          $-620.50        1358.35         8245.520816     991       
5          $-2692.25       -712.13         2025.717442     965       
6          $-2585.75       -603.15         1458.139200     988       
7          $-1551.75       430.45          807.758881      1024      
8          $-1744.50       235.36          320.595754      919       
9          $-2000.25       -21.82          0.658945        905       
10         $-1852.75       126.23          128.345323      851       
11         $-1829.25       151.31          150.370711      905       
12         $-2373.75       -393.59         679.543428      887       
13         $-2547.00       -568.06         1214.517774     1000      
14         $-2002.00       -22.15          5.030318        1049      
15         $-1844.25       137.22          132.347579      943       
16         $-572.00        1407.95         9172.348937     955       
17         $-2625.75       -644.37         1717.189919     906       
18         $-2631.75       -652.21         1592.881582     1067      
19         $-2004.50       -22.45          0.365714        1149      
20         $-2000.50       -22.21          0.196204        1056      
21         $-1541.00       436.31          427.330975      2162      
22         $-2005.25       -22.83          0.127653        1328      
23         $-1896.00       77.32           32.081270       1387      
24         $-1691.25       283.45          148.155673      2813      
25         $-2755.00       -776.12         1995.620165     1213      
26         $-2243.00       -264.00         220.860296      1163      
27         $-2001.00       -24.39          1.090408        2045      
28         $-1912.25       -293.62         69.309681       5000      
29         $-2001.25       -22.77          0.168337        1533      
30         $-2375.00       -397.58         577.586509      1219      
31         $-2005.00       -29.08          0.080432        4126      
32         $-2000.75       -23.18          0.062644        1521      
33         $-1359.50       -1329.32        1385.036253     5000      
34         $-2302.50       -321.56         198.280968      1882      
35         $-1638.50       -1434.87        1615.352348     5000      
36         $-1820.75       157.05          86.613175       1623      
37         $-1514.00       -1211.88        1376.460291     5000      
38         $-1585.50       -1227.96        1240.465029     5000      
39         $-1594.25       274.68          83.858192       5000      
40         $-2001.50       -23.30          0.151661        1728      
41         $-2623.50       -642.92         1142.070052     1401      
42         $-1303.25       254.17          70.374500       5000      
43         $-1970.00       6.79            2.349748        3156      
44         $-1370.00       -1291.32        1499.605911     5000      
45         $-1575.25       403.18          447.052481      1782      
46         $-1953.25       20.55           3.784097        2539      
47         $-1694.50       284.19          186.634580      2115      
48         $-2453.50       -477.63         512.887793      1797      
49         $-2664.75       -690.05         727.043450      2433      
50         $-1442.25       -1352.03        1513.421553     5000      
51         $-2367.25       -394.51         267.243467      2058      
52         $-1462.75       -1289.83        1406.310012     5000      
53         $-554.75        243.23          59.273500       5000      
54         $-2436.50       -459.38         505.693758      1516      
55         $-2455.25       -475.25         614.716157      1392      
56         $-2002.75       -25.19          3.451068        2384      
57         $-2552.75       -575.97         683.103089      1851      
58         $-2000.50       -29.60          0.517114        4734      
59         $-1949.50       27.60           4.293764        3709      
60         $-2210.25       -234.43         78.659303       2194      
61         $-266.25        256.80          62.246513       5000      
62         $-2099.25       -124.18         13.060951       2728      
63         $-1555.00       -1373.17        1563.171756     5000      
64         $-1740.25       -1397.37        1613.994862     5000      
65         $-2004.00       -24.81          0.226610        4461      
66         $-2132.75       -155.85         37.034844       1817      
67         $-1743.00       236.25          136.717718      1929      
68         $-1741.00       238.63          206.458459      1485      
69         $-2000.75       -23.80          0.753117        1747      
70         $-1991.75       -18.46          0.333839        3043      
71         $-2001.00       -23.31          0.168187        1656      
72         $-3183.50       -1208.42        2531.659260     2355      
73         $-3370.50       -1396.35        2598.623452     3059      
74         $-3407.75       -1435.21        2591.346077     3190      
75         $-2000.25       -26.28          2.643042        2618      
76         $-2049.75       -74.90          2.796515        2378      
77         $-2006.50       -23.61          0.359006        1816      
78         $-2180.50       -201.07         74.139688       1649      
79         $-2227.25       -249.85         96.640036       2102      
80         $-2639.00       -1402.49        1565.554116     5000      
81         $-2001.00       -27.09          0.237732        4053      
82         $-2001.75       -24.50          0.100474        2152      
83         $-2405.25       -429.92         292.978476      2423      
84         $-1703.75       274.17          195.131941      1969      
85         $-1767.75       210.62          107.478747      2050      
86         $-2103.50       -130.89         10.900861       4181      
87         $-3091.50       -1510.41        1849.087942     5000      
88         $-2001.50       -24.88          0.356203        2388      
89         $-2607.00       -633.70         490.792449      3076      
90         $-1935.75       -624.30         323.700588      5000      
91         $-2211.00       -234.56         66.408655       2734      
92         $-3292.75       -1316.09        3120.721095     2206      
93         $-2558.50       -591.55         403.675113      3343      
94         $-2005.50       -20.30          1.087696        2958      
95         $391.25         436.92          246.969135      5000      
96         $616.25         579.52          291.052945      5000      
97         $-2004.75       -23.74          0.411737        1543      
98         $-2001.50       -25.51          0.110822        2786      
99         $-1499.00       481.86          400.822831      2685      
100        $-2533.50       -557.51         464.407698      2563      
101        $-2002.00       -27.91          0.308417        4665      
102        $171.50         310.03          16.680374       5000      
103        $-3353.75       -1489.71        1762.487087     5000      
104        $-1800.00       -319.74         72.134199       5000      
105        $-2405.25       -437.74         143.630893      4564      
106        $203.50         279.14          76.373627       5000      
107        $408.00         426.02          221.767491      5000      
108        $-779.50        -59.82          1.538666        5000      
109        $-332.25        -14.84          0.180350        5000      
110        $-2642.50       -664.45         657.165706      2586      
111        $-2000.50       -23.52          0.172393        1565      
112        $-1151.00       -301.32         60.557950       5000      
113        $-553.25        64.62           5.872791        5000      
114        $-2431.00       -456.90         261.993572      2928      
115        $-2002.25       -24.20          0.142149        1839      
116        $-1328.25       646.18          649.826486      2993      
117        $-122.50        76.57           6.739480        5000      
118        $-2002.25       -27.22          0.084360        3592      
119        $-2336.50       -453.36         147.414253      5000      
120        $-2468.75       -492.77         454.700629      1922      
121        $-2340.00       -361.65         184.982535      2481      
122        $-2426.50       -1378.97        1562.817426     5000      
123        $-3277.75       -1301.33        2038.514156     3221      
124        $-2844.75       -971.76         736.960750      5000      
125        $168.50         354.00          130.438010      5000      
126        $-2379.50       -400.89         143.188703      3890      
127        $-2001.75       -25.96          0.536250        2848      
128        $-979.25        -237.04         36.203930       5000      
129        $-479.00        0.97            0.202429        5000      
130        $-1606.25       -251.86         43.262674       5000      
131        $-3250.50       -1270.31        1337.078313     4865      
132        $-2168.75       -193.43         23.224816       4381      
133        $-2626.75       -653.85         497.421163      3209      
134        $-1700.75       -1264.84        1270.068672     5000      
135        $-2009.25       -1464.76        1804.698671     5000      
136        $-1731.75       -321.01         66.457947       5000      
137        $40.25          402.20          144.647626      5000      
138        $-1996.00       -280.70         50.633182       5000      
139        $-2912.00       -948.45         732.866896      4608      
140        $-762.25        280.84          101.793698      5000      
141        $-2014.50       -41.54          0.165237        3932      
142        $-2519.75       -1362.20        1486.142592     5000      
143        $-2629.25       -660.69         367.497023      4080      
144        $-2736.00       -763.26         492.191076      4458      
145        $-2227.25       -1445.31        1653.273696     5000      
146        $-1961.00       8.39            2.809831        4994      
147        $-1794.75       -1150.65        1004.978085     5000      
148        $-1950.25       21.81           4.402134        3789      
149        $-1943.75       33.14           3.825298        4314      
150        $-2002.00       -23.22          0.520056        1456      
151        $-2324.75       -351.68         111.095637      3472      
152        $-2005.00       -34.49          0.766714        4676      
153        $-2980.50       -1234.75        1214.515369     5000      
154        $-2218.25       -236.99         172.602608      1857      
155        $-1875.25       101.58          35.716611       2011      
156        $-2189.00       -1259.19        1247.968714     5000      
157        $-2216.25       -1209.51        1141.945397     5000      
158        $-1339.25       -209.73         27.353235       5000      
159        $-2202.25       -1387.38        1593.081538     5000      
160        $-1747.25       -1193.99        1206.910559     5000      
161        $-1186.75       520.20          263.552298      5000      
162        $-2337.25       -368.64         90.220348       4915      
163        $-1892.50       -284.11         50.858052       5000      
164        $-1967.50       2.21            1.068535        3924      
165        $-1427.25       549.63          745.504445      1772      
166        $-2161.25       -183.50         60.623571       1866      
167        $-316.00        210.87          41.024258       5000      
168        $-1111.50       -590.04         236.502277      5000      
169        $-457.25        317.65          90.029364       5000      
170        $-1686.50       -1168.62        1036.658493     5000      
171        $-609.50        515.14          234.970222      5000      
172        $-10.50         583.90          299.888156      5000      
173        $-2718.25       -740.53         1183.055184     1822      
174        $-1567.50       -651.61         286.827508      5000      
175        $-1972.25       9.08            2.708823        1637      
176        $-2001.50       -22.55          0.434407        2441      
177        $-2573.25       -597.39         617.328778      2040      
178        $-2523.00       -543.78         576.485414      1985      
179        $-2003.50       -23.37          0.150381        1467      
180        $-1708.25       258.97          71.825985       4973      
181        $-2219.25       -244.00         47.970173       3684      
182        $-2000.50       -24.16          6.913486        2407      
183        $-1889.25       89.14           13.175037       3999      
184        $-1874.75       106.41          18.150792       3809      
185        $-2493.50       -511.89         415.450325      2382      
186        $-1862.25       113.62          18.321513       4005      
187        $-2002.25       -23.09          0.722241        1479      
188        $-2001.00       -29.63          0.218779        3128      
189        $-2001.00       -31.90          0.179073        3996      
190        $-1630.25       349.20          466.178059      1236      
191        $-2153.00       -304.85         57.289784       5000      
192        $-2918.00       -948.03         874.100691      3994      
193        $-2004.50       -23.21          0.279510        2333      
194        $-2408.75       -430.50         613.368153      1158      
195        $-2114.50       -137.33         33.157533       1388      
196        $-1798.75       181.29          150.676958      1158      
197        $-2003.75       -22.78          0.471420        2476      
198        $-1930.50       -1376.84        1557.543688     5000      
199        $-2211.50       -232.77         138.063186      1252      
200        $-2554.00       -578.36         518.262816      2288      
201        $-1698.25       279.77          163.633906      2366      
202        $-1942.00       -275.20         56.537484       5000      
203        $-3140.50       -1444.16        1659.594945     5000      
204        $-1277.00       264.54          72.847605       5000      
205        $-1804.25       -966.91         701.222500      5000      
206        $-2000.50       -27.48          1.205057        4569      
207        $-2002.50       -22.91          0.401948        2674      
208        $-2348.50       -371.73         283.027331      1658      
209        $-1955.25       -402.08         97.468516       5000      
210        $-2553.00       -576.64         1031.204379     1203      
211        $-2003.00       -24.96          0.722396        1799      
212        $-2251.75       -276.75         78.504726       2704      
213        $-2317.25       -338.93         391.712994      1033      
214        $-1472.75       496.24          310.818150      3960      
215        $-1268.50       -727.81         346.247123      5000      
216        $-1205.25       -416.39         151.668374      5000      
217        $-2399.75       -1213.88        1098.124086     5000      
218        $-2003.75       -23.57          1.846771        3562      
219        $-2687.25       -711.38         1171.103935     1642      
220        $-1367.00       -1242.01        1225.016810     5000      
221        $-1298.75       -1260.86        1212.300229     5000      
222        $-1026.50       -568.65         210.990696      5000      
223        $-1543.25       -766.49         437.603090      5000      
224        $-1475.50       -1247.31        1153.754511     5000      
225        $-1356.25       612.26          399.520347      4803      
226        $-2094.50       -126.91         5.315839        4098      
227        $-2163.50       -301.20         47.311336       5000      
228        $-2001.25       -24.17          0.425286        2060      
229        $-1523.00       -1416.73        1658.384829     5000      
230        $-1440.25       -721.36         304.928202      5000      
231        $-1933.75       -594.33         223.236655      5000      
232        $-2166.50       -190.09         34.680927       2871      
233        $-1888.50       78.03           19.124502       2299      
234        $-2506.75       -534.77         418.846219      2242      
235        $-3010.50       -1048.76        1067.108920     3819      
236        $-2214.25       -232.48         108.771083      2070      
237        $-1823.00       -608.34         221.500821      5000      
238        $-1872.25       106.24          66.486263       1001      
239        $-1057.75       -58.83          1.624756        5000      
240        $-2467.75       -489.70         808.583004      1119      
241        $-2629.75       -649.65         1579.598902     1017      
242        $-1669.75       310.89          193.886543      2435      
243        $-2002.00       -20.79          2.191806        3688      
244        $-1310.50       669.01          1595.325124     1332      
245        $-3246.75       -1272.71        3811.994541     1535      
246        $-2002.00       -22.65          13.811717       2981      
247        $-1559.00       423.62          456.101925      1940      
248        $-1777.75       189.78          47.955647       4345      
249        $-2003.75       -22.31          0.719273        1191      
250        $-3251.25       -1274.93        2093.378937     2858      
251        $-3380.50       -1403.39        4548.366176     1625      
252        $-2675.75       -697.94         925.337886      1703      
253        $-1883.25       98.13           49.784955       1101      
254        $-2034.75       -55.65          5.356663        1233      
255        $-2553.00       -572.86         1152.369383     1117      
256        $-1721.75       257.77          282.623979      1141      
257        $-1085.00       892.88          2346.441371     1688      
258        $-2026.75       -48.49          4.088295        1097      
259        $-2000.75       -23.27          0.253103        1512      
260        $-2611.00       -1373.62        1433.030921     5000      
261        $-2321.00       -341.47         282.642098      1283      
262        $-2304.50       -327.05         241.951760      1621      
263        $-2001.25       -21.68          5.159201        2408      
264        $-1395.50       581.77          1034.256031     1592      
265        $-2308.50       -329.92         223.644823      1720      
266        $-2321.75       -341.06         324.713342      1253      
267        $-1749.00       229.98          187.345461      1465      
268        $-2743.50       -767.75         1169.404690     1825      
269        $-2421.00       -440.38         557.618544      1241      
270        $-2727.25       -1175.78        950.106638      5000      
271        $-2661.00       -681.86         1268.932249     1348      
272        $-2004.50       -23.35          0.712866        1496      
273        $-2463.50       -490.44         289.745722      2683      
274        $-2094.50       -116.47         21.583763       2352      
275        $-2056.25       -578.48         232.987184      5000      
276        $-2269.25       -702.64         344.357739      5000      
277        $-1507.25       472.94          551.861090      1911      
278        $-2005.25       -20.97          0.238473        1995      
279        $-2000.50       -22.46          0.196920        1140      
280        $-2325.00       -344.45         308.196045      1446      
281        $-2626.00       -1176.24        897.762565      5000      
282        $-2284.00       -303.05         225.122183      1125      
283        $-2566.50       -594.43         367.091638      3219      
284        $-2609.00       -632.61         574.249249      2689      
285        $-1637.00       343.18          217.128617      2865      
286        $-540.00        1435.44         2020.206970     4582      
287        $-2001.00       -25.24          1.184287        2239      
288        $-3243.25       -1272.82        2105.419881     3020      
289        $-2495.50       -516.83         292.267084      3312      
290        $-2314.75       -336.86         196.925132      1787      
291        $-2317.75       -1280.87        1188.488496     5000      
292        $-2350.00       -372.18         313.305293      1617      
293        $-2257.00       -280.48         160.612256      1566      
294        $-2001.50       -22.50          7.661451        2242      
295        $-2396.00       -851.37         500.908423      5000      
296        $-2342.50       -366.84         125.949973      3988      
297        $-2300.75       -323.37         284.299678      1238      
298        $-2330.50       -394.35         129.146694      2841      
299        $-1866.25       114.89          56.609885       1906      
300        $-1795.50       184.56          121.850679      1617      
301        $-1859.50       121.20          71.015715       1190      
302        $-2147.50       -1472.26        1731.075666     5000      
303        $-2449.75       -469.69         614.984496      1428      
304        $-1483.50       -1156.41        1247.972050     5000      
305        $-2054.50       -73.61          4.842905        1120      
306        $-2117.00       -171.47         58.217587       1855      
307        $-2608.25       -969.83         697.262802      5000      
308        $-1991.25       -36.05          3.926427        3478      
309        $-2307.75       -330.63         201.661258      1564      
310        $-2519.50       -773.83         415.343759      5000      
311        $-2423.75       -443.13         721.849664      1005      
312        $-2003.25       -22.32          0.922502        1044      
313        $-2076.00       -98.06          15.646366       1261      
314        $-2491.50       -615.30         236.320282      5000      
315        $-2003.50       -11.10          2.041080        4092      
316        $-2001.75       -28.64          8.818250        4105      
317        $-2280.75       -1203.60        1153.696308     5000      
318        $-2002.00       -22.90          4.695749        1438      
319        $-1698.25       278.27          283.373274      1750      
320        $-103.75        1269.36         1402.520341     5000      
321        $-1951.25       23.22           21.987884       1604      
322        $-2630.50       -656.28         583.983427      2860      
323        $-1103.75       872.52          1693.121117     1939      
324        $-2331.75       -661.49         377.469091      5000      
325        $-2005.00       -24.38          2.275279        4490      
326        $-2437.25       -484.44         227.243451      2990      
327        $-2001.50       -22.59          0.955522        1134      
328        $-1844.50       130.21          44.074483       2911      
329        $-2048.25       -67.28          3.969849        1673      
330        $-2608.25       -635.49         363.083191      4665      
331        $-2000.75       -22.44          0.307830        1078      
332        $-1999.50       -17.59          1.937825        2129      
333        $-1888.25       91.29           36.847933       1631      
334        $-1896.50       78.69           31.902306       1479      
335        $-1701.75       269.51          120.440253      3177      
336        $-2143.75       -508.07         143.644471      5000      
337        $-2314.75       -680.54         288.759596      5000      
338        $-1675.25       -758.05         468.875211      5000      
339        $-1959.25       4.87            2.157229        4601      
340        $-1819.00       -1284.72        1367.626671     5000      
341        $-1444.00       488.01          471.347867      2200      
342        $-2208.00       -227.02         163.052417      1101      
343        $-1681.00       276.40          90.569208       4707      
344        $-2442.50       -1245.78        1271.400867     5000      
345        $-1367.25       608.17          506.139177      3256      
346        $-1716.25       -1504.43        1846.680857     5000      
347        $-1895.75       73.02           16.135444       2932      
348        $-2003.25       -29.00          0.518084        3325      
349        $-2022.75       -45.60          1.475967        3946      
350        $-2002.25       -21.96          0.538255        939       
351        $-2194.25       -213.97         93.186355       1614      
352        $-1653.50       326.79          116.290046      4385      
353        $-2795.25       -1380.02        1737.414869     5000      
354        $-2216.25       -240.95         59.460824       3010      
355        $-3416.00       -1443.23        2505.250063     3444      
